Listado del Resultado  SAM 6.1.55 .    Mecanismo: dedo2

________________________________________________________________________
	A(2)	A(3)
[deg]	[deg]	
16.430	-20.000	
16.035	-21.797	
15.629	-23.580	
15.213	-25.350	
14.788	-27.108	
14.353	-28.857	
13.910	-30.598	
13.459	-32.331	
12.999	-34.058	
12.532	-35.779	
12.057	-37.496	
11.574	-39.208	
11.084	-40.918	
10.587	-42.625	
10.082	-44.329	
9.570	-46.033	
9.052	-47.735	
8.526	-49.436	
7.992	-51.137	
7.452	-52.839	
6.905	-54.541	
6.350	-56.244	
5.789	-57.948	
5.220	-59.654	
4.644	-61.361	
4.060	-63.071	
3.469	-64.784	
2.870	-66.499	
2.264	-68.217	
1.650	-69.939	
1.029	-71.664	
0.399	-73.394	
-0.238	-75.127	
-0.884	-76.865	
-1.538	-78.607	
-2.200	-80.354	
-2.871	-82.107	
-3.551	-83.864	
-4.240	-85.627	
-4.937	-87.396	
-5.644	-89.171	
-6.360	-90.953	
-7.085	-92.741	
-7.820	-94.535	
-8.565	-96.337	
-9.320	-98.146	
-10.085	-99.962	
-10.861	-101.786	
-11.647	-103.617	
-12.444	-105.457	
-13.252	-107.306	
-14.071	-109.162	
-14.902	-111.028	
-15.745	-112.903	
-16.599	-114.787	
-17.465	-116.680	
-18.344	-118.583	
-19.236	-120.497	
-20.140	-122.420	
-21.057	-124.354	
-21.988	-126.298	
-22.933	-128.254	
-23.891	-130.220	
-24.863	-132.198	
-25.850	-134.187	
-26.851	-136.189	
-27.868	-138.202	
-28.899	-140.227	
-29.946	-142.265	
-31.009	-144.315	
-32.087	-146.378	
-33.182	-148.454	
-34.293	-150.543	
-35.421	-152.645	
-36.566	-154.760	
-37.728	-156.890	
-38.907	-159.032	
-40.105	-161.189	
-41.320	-163.359	
-42.553	-165.543	
-43.805	-167.741	
-45.075	-169.953	
-46.363	-172.179	
-47.671	-174.419	
