Listado del Resultado  SAM 6.1.55 .    Mecanismo: dedo2

________________________________________________________________________
	 L(12)	x(4)	y(4)	A(8)
[mm]	[mm]	[mm]	[deg]	
45.373	65.279	4.142	152.230	
45.846	63.077	-3.755	147.765	
46.318	60.811	-9.029	144.342	
46.790	58.603	-13.026	141.437	
47.262	56.477	-16.234	138.854	
47.734	54.434	-18.895	136.495	
48.207	52.473	-21.152	134.302	
48.679	50.589	-23.094	132.238	
49.151	48.776	-24.787	130.278	
49.623	47.029	-26.273	128.403	
50.096	45.344	-27.588	126.599	
50.568	43.716	-28.757	124.856	
51.040	42.141	-29.801	123.164	
51.512	40.616	-30.736	121.517	
51.984	39.138	-31.576	119.908	
52.457	37.703	-32.332	118.335	
52.929	36.309	-33.013	116.791	
53.401	34.953	-33.627	115.274	
53.873	33.633	-34.180	113.781	
54.346	32.347	-34.679	112.309	
54.818	31.094	-35.128	110.856	
55.290	29.870	-35.532	109.419	
55.762	28.675	-35.895	107.998	
56.234	27.507	-36.220	106.590	
56.707	26.365	-36.509	105.193	
57.179	25.247	-36.766	103.808	
57.651	24.152	-36.992	102.431	
58.123	23.079	-37.191	101.062	
58.596	22.027	-37.363	99.700	
59.068	20.995	-37.510	98.344	
59.540	19.981	-37.635	96.993	
60.012	18.985	-37.737	95.646	
60.484	18.006	-37.819	94.302	
60.957	17.044	-37.882	92.961	
61.429	16.097	-37.926	91.621	
61.901	15.164	-37.953	90.281	
62.373	14.245	-37.963	88.942	
