Listado del Resultado  SAM 6.1.55 .    Mecanismo: dedo2

________________________________________________________________________
	x(4)	y(4)
[mm]	[mm]	
66.752	7.302	
66.625	6.385	
66.481	5.470	
66.322	4.558	
66.147	3.649	
65.956	2.743	
65.749	1.840	
65.526	0.941	
65.288	0.046	
65.034	-0.844	
64.765	-1.730	
64.480	-2.611	
64.180	-3.487	
63.865	-4.358	
63.535	-5.223	
63.189	-6.082	
62.829	-6.935	
62.453	-7.781	
62.063	-8.621	
61.659	-9.454	
61.240	-10.279	
60.806	-11.098	
60.359	-11.908	
59.897	-12.711	
59.422	-13.505	
58.932	-14.291	
58.429	-15.069	
57.913	-15.837	
57.383	-16.596	
56.840	-17.346	
56.284	-18.087	
55.715	-18.817	
55.133	-19.538	
54.539	-20.248	
53.933	-20.948	
53.314	-21.637	
52.684	-22.315	
52.042	-22.982	
51.388	-23.638	
50.723	-24.282	
50.047	-24.915	
49.360	-25.536	
48.662	-26.144	
47.954	-26.741	
47.235	-27.324	
46.506	-27.896	
45.768	-28.454	
45.019	-29.000	
44.262	-29.532	
43.495	-30.051	
42.719	-30.556	
41.935	-31.048	
41.142	-31.527	
40.341	-31.991	
39.532	-32.441	
38.715	-32.877	
37.890	-33.299	
37.059	-33.706	
36.220	-34.099	
35.375	-34.477	
34.523	-34.840	
33.665	-35.188	
32.801	-35.521	
31.932	-35.839	
31.057	-36.142	
30.177	-36.430	
29.292	-36.702	
28.402	-36.958	
27.508	-37.199	
26.610	-37.425	
25.708	-37.635	
24.803	-37.829	
23.894	-38.007	
22.982	-38.169	
22.068	-38.315	
21.151	-38.446	
20.232	-38.560	
19.312	-38.658	
18.389	-38.740	
17.466	-38.807	
16.541	-38.856	
15.616	-38.890	
14.690	-38.908	
13.764	-38.909	
