Listado del Resultado  SAM 6.1.55 .    Mecanismo: dedo2

________________________________________________________________________
	x(5)	y(5)	A(1)	x(8)	y(8)	A(8)
[mm]	[mm]	[deg]	[mm]	[mm]	[deg]	
87.355	10.722	-4.962	-17.879	9.414	152.230	
86.814	2.752	-14.043	-17.516	10.073	150.097	
85.752	-3.329	-20.939	-17.187	10.624	148.278	
84.448	-8.317	-26.651	-16.881	11.105	146.660	
83.012	-12.565	-31.598	-16.590	11.536	145.187	
81.503	-16.266	-36.001	-16.310	11.927	143.823	
79.950	-19.542	-39.993	-16.040	12.288	142.546	
78.375	-22.476	-43.661	-15.778	12.623	141.339	
76.789	-25.125	-47.067	-15.522	12.937	140.191	
75.201	-27.535	-50.255	-15.271	13.232	139.092	
73.618	-29.738	-53.258	-15.025	13.511	138.036	
72.043	-31.760	-56.102	-14.782	13.776	137.018	
70.480	-33.624	-58.808	-14.543	14.028	136.033	
68.930	-35.347	-61.392	-14.307	14.268	135.078	
67.396	-36.944	-63.869	-14.074	14.498	134.149	
65.878	-38.426	-66.249	-13.843	14.719	133.243	
64.377	-39.804	-68.541	-13.614	14.931	132.359	
62.893	-41.088	-70.755	-13.388	15.135	131.495	
61.427	-42.285	-72.898	-13.163	15.331	130.649	
59.980	-43.402	-74.974	-12.939	15.520	129.819	
58.551	-44.446	-76.990	-12.717	15.702	129.005	
57.140	-45.421	-78.951	-12.497	15.878	128.205	
55.748	-46.332	-80.860	-12.277	16.048	127.417	
54.373	-47.184	-82.721	-12.059	16.213	126.642	
53.017	-47.980	-84.537	-11.842	16.372	125.878	
51.679	-48.725	-86.312	-11.626	16.526	125.125	
50.358	-49.420	-88.048	-11.410	16.676	124.382	
49.054	-50.070	-89.747	-11.196	16.821	123.648	
47.768	-50.676	-91.412	-10.982	16.961	122.923	
46.499	-51.241	-93.044	-10.769	17.097	122.206	
45.247	-51.767	-94.646	-10.557	17.229	121.497	
44.011	-52.257	-96.220	-10.345	17.357	120.795	
42.791	-52.712	-97.765	-10.134	17.481	120.100	
41.588	-53.134	-99.286	-9.923	17.602	119.412	
40.400	-53.524	-100.781	-9.713	17.719	118.730	
39.228	-53.884	-102.253	-9.503	17.832	118.053	
38.071	-54.216	-103.703	-9.293	17.942	117.383	
36.929	-54.520	-105.132	-9.084	18.049	116.717	
35.803	-54.799	-106.540	-8.876	18.152	116.057	
34.690	-55.052	-107.930	-8.667	18.253	115.401	
33.593	-55.282	-109.301	-8.459	18.350	114.750	
32.509	-55.488	-110.654	-8.252	18.444	114.103	
31.439	-55.673	-111.991	-8.044	18.536	113.460	
30.383	-55.836	-113.312	-7.837	18.624	112.821	
29.341	-55.980	-114.617	-7.630	18.710	112.186	
28.312	-56.104	-115.907	-7.423	18.793	111.554	
27.296	-56.209	-117.183	-7.217	18.873	110.925	
26.293	-56.296	-118.446	-7.010	18.951	110.300	
25.303	-56.366	-119.695	-6.804	19.026	109.678	
24.325	-56.419	-120.932	-6.598	19.098	109.058	
23.360	-56.456	-122.157	-6.392	19.168	108.442	
22.407	-56.478	-123.370	-6.186	19.236	107.828	
21.466	-56.484	-124.572	-5.980	19.301	107.216	
20.537	-56.476	-125.763	-5.775	19.363	106.607	
19.620	-56.454	-126.944	-5.569	19.423	106.000	
18.715	-56.419	-128.115	-5.364	19.481	105.395	
17.820	-56.370	-129.276	-5.159	19.536	104.792	
16.937	-56.309	-130.428	-4.953	19.589	104.191	
16.066	-56.235	-131.571	-4.748	19.640	103.591	
15.205	-56.150	-132.705	-4.543	19.689	102.994	
14.355	-56.053	-133.831	-4.338	19.735	102.398	
13.516	-55.944	-134.949	-4.133	19.779	101.803	
12.687	-55.825	-136.060	-3.928	19.820	101.210	
11.869	-55.696	-137.162	-3.723	19.860	100.618	
11.061	-55.556	-138.258	-3.518	19.897	100.028	
10.263	-55.407	-139.347	-3.313	19.932	99.438	
9.476	-55.248	-140.428	-3.109	19.965	98.850	
8.698	-55.079	-141.504	-2.904	19.996	98.263	
7.930	-54.902	-142.573	-2.699	20.025	97.676	
7.172	-54.715	-143.636	-2.494	20.051	97.091	
6.424	-54.520	-144.693	-2.289	20.076	96.506	
5.685	-54.317	-145.745	-2.085	20.098	95.922	
4.956	-54.106	-146.791	-1.880	20.118	95.338	
4.236	-53.886	-147.832	-1.675	20.136	94.755	
3.525	-53.660	-148.867	-1.470	20.152	94.173	
2.823	-53.425	-149.898	-1.265	20.166	93.591	
2.130	-53.183	-150.925	-1.061	20.178	93.009	
1.447	-52.935	-151.946	-0.856	20.188	92.428	
0.772	-52.679	-152.964	-0.651	20.196	91.847	
0.106	-52.417	-153.977	-0.446	20.201	91.266	
-0.552	-52.148	-154.986	-0.241	20.205	90.685	
-1.200	-51.872	-155.991	-0.037	20.206	90.104	
-1.840	-51.590	-156.993	0.168	20.205	89.523	
-2.472	-51.303	-157.990	0.373	20.203	88.942	
