Listado del Resultado  SAM 6.1.55 .    Mecanismo: dedo2

________________________________________________________________________
	x(4)	y(4)
[mm]	[mm]	
66.752	7.302	
65.930	2.627	
65.004	-0.946	
64.040	-3.881	
63.063	-6.385	
62.086	-8.573	
61.116	-10.516	
60.157	-12.263	
59.210	-13.849	
58.277	-15.298	
57.358	-16.631	
56.454	-17.863	
55.564	-19.007	
54.689	-20.072	
53.827	-21.067	
52.980	-22.000	
52.146	-22.875	
51.326	-23.699	
50.519	-24.476	
49.724	-25.210	
48.941	-25.903	
48.170	-26.561	
47.411	-27.183	
46.663	-27.775	
45.925	-28.336	
45.199	-28.871	
44.482	-29.379	
43.776	-29.863	
43.079	-30.324	
42.392	-30.764	
41.713	-31.184	
41.044	-31.584	
40.383	-31.967	
39.731	-32.332	
39.087	-32.681	
38.450	-33.014	
37.822	-33.333	
37.201	-33.638	
36.587	-33.929	
35.981	-34.207	
35.381	-34.474	
34.789	-34.728	
34.203	-34.972	
33.623	-35.205	
33.050	-35.427	
32.483	-35.640	
31.922	-35.843	
31.366	-36.037	
30.817	-36.222	
30.273	-36.399	
29.734	-36.568	
29.201	-36.729	
28.673	-36.882	
28.150	-37.028	
27.632	-37.167	
27.118	-37.299	
26.610	-37.425	
26.106	-37.544	
25.607	-37.657	
25.112	-37.764	
24.621	-37.865	
24.135	-37.961	
23.653	-38.051	
23.175	-38.136	
22.700	-38.216	
22.230	-38.291	
21.764	-38.360	
21.301	-38.426	
20.841	-38.486	
20.386	-38.542	
19.934	-38.594	
19.485	-38.641	
19.039	-38.684	
18.597	-38.723	
18.158	-38.759	
17.722	-38.790	
17.289	-38.817	
16.859	-38.841	
16.432	-38.861	
16.008	-38.878	
15.587	-38.891	
15.168	-38.901	
14.752	-38.907	
14.338	-38.910	
